Q1A,Q6A,Q8A,Q11A,Q12A,Q14A,Q18A,Q22A,Q27A,Q29A,Q32A,Q33A,Q35A,Q39A,Scale_Stre
0,0,1,2,1,0,1,0,1,0,0,1,0,2,Normal
3,3,3,2,2,2,3,3,3,3,2,3,1,3,Sangat Parah
2,1,2,2,0,0,0,1,2,1,1,1,2,0,Ringan
0,0,1,0,0,0,0,1,0,1,0,1,0,1,Normal
0,0,1,1,0,1,1,1,2,1,1,1,1,1,Normal
3,3,3,3,3,3,0,3,3,3,3,3,3,3,Sangat Parah
1,1,2,1,2,1,1,1,2,1,1,2,1,2,Sedang
1,2,2,2,1,1,2,3,2,2,1,2,1,1,Sedang
2,2,2,2,1,1,2,0,2,0,0,1,0,2,Ringan
1,2,1,2,1,0,1,1,2,2,2,0,0,0,Ringan
1,1,0,1,0,2,1,0,1,0,1,0,1,0,Normal
0,0,1,0,0,0,1,0,0,0,0,0,1,0,Normal
2,0,2,1,1,2,1,2,2,1,1,0,0,2,Ringan
1,3,3,2,3,2,0,3,3,3,2,3,2,3,Parah
1,2,1,0,0,0,0,3,1,0,2,2,2,1,Ringan
1,0,0,1,1,2,1,1,1,0,0,2,1,0,Normal
0,1,1,0,0,1,0,0,0,0,0,0,0,1,Normal
1,1,1,1,0,2,0,1,1,0,0,0,0,1,Normal
1,1,0,1,1,1,1,1,1,0,1,1,1,1,Normal
2,1,3,0,3,1,0,1,0,2,2,3,0,3,Sedang
1,0,2,1,1,1,0,1,2,1,0,3,0,1,Normal
1,2,2,1,2,1,1,2,0,3,0,2,1,1,Sedang
2,3,0,3,0,3,1,1,0,3,2,0,2,0,Sedang
3,3,3,3,3,0,3,3,2,3,2,2,2,3,Sangat Parah
2,3,3,2,1,2,3,3,3,3,1,3,2,3,Sangat Parah
3,2,0,3,0,3,3,1,3,1,2,1,2,2,Parah
1,1,1,0,1,0,0,0,1,0,0,1,0,1,Normal
1,1,1,1,1,1,1,1,1,1,1,0,1,1,Normal
2,3,2,3,3,1,1,0,2,3,2,3,1,1,Parah
0,1,2,2,2,1,1,3,1,1,2,1,1,1,Sedang
2,3,2,2,1,2,1,1,2,2,1,3,0,2,Sedang
0,0,0,0,0,0,0,1,0,0,0,0,1,0,Normal
3,3,3,3,3,2,3,3,3,3,3,2,2,3,Sangat Parah
0,3,1,0,0,1,1,1,1,0,0,1,1,1,Normal
0,3,2,1,1,0,2,1,1,2,2,1,0,0,Ringan
2,2,2,2,2,3,2,2,2,2,1,1,3,3,Parah
0,0,0,0,0,0,0,0,1,0,1,0,1,0,Normal
3,3,3,3,3,3,0,3,3,3,3,3,3,3,Sangat Parah
3,3,3,3,3,2,2,3,3,3,2,3,3,3,Sangat Parah
2,1,1,2,0,2,2,0,1,0,3,0,3,3,Sedang
1,3,2,3,0,1,0,1,1,2,0,0,1,0,Ringan
0,2,2,0,0,2,2,0,1,0,1,0,0,1,Normal
1,1,1,0,0,1,0,1,0,0,0,0,0,1,Normal
1,0,3,1,2,1,2,2,1,2,1,2,1,1,Sedang
3,3,2,3,1,3,3,2,3,3,3,1,3,3,Sangat Parah
1,1,1,3,3,0,3,1,1,3,3,1,3,1,Sedang
1,2,1,2,3,2,2,3,2,2,1,2,1,2,Parah
3,2,3,3,2,1,1,0,3,0,2,1,0,1,Sedang
2,2,3,2,1,2,3,2,1,2,2,2,1,2,Parah
1,1,0,0,1,0,0,0,0,0,1,0,0,0,Normal
3,3,2,3,3,3,2,2,3,3,1,1,2,3,Sangat Parah
1,1,2,2,2,1,2,0,2,2,2,1,1,1,Sedang
1,2,2,3,3,2,1,2,2,3,0,3,1,2,Parah
1,1,1,1,1,1,1,2,1,1,2,1,1,1,Ringan
3,3,3,1,0,3,0,3,1,0,0,3,0,0,Sedang
0,0,0,0,1,1,0,0,0,1,1,0,0,1,Normal
1,0,2,1,3,0,1,2,0,3,3,2,3,1,Sedang
2,1,2,2,2,2,2,2,3,2,2,1,2,2,Parah
1,1,1,2,1,1,1,1,1,1,1,1,1,2,Ringan
2,2,2,3,0,1,1,1,1,3,2,2,2,1,Sedang
2,1,3,2,2,3,2,2,1,2,3,2,0,1,Parah
1,1,2,1,1,2,0,1,1,1,0,0,0,1,Normal
2,1,2,2,2,1,1,2,1,2,1,1,1,1,Sedang
3,3,2,3,2,2,2,3,2,3,2,3,2,2,Sangat Parah
0,0,0,0,0,1,0,0,0,0,0,0,1,1,Normal
3,2,1,3,2,3,3,3,2,3,2,2,3,3,Sangat Parah
1,1,3,1,1,3,1,1,1,1,3,0,1,1,Sedang
2,2,2,2,1,2,3,2,2,2,2,2,1,2,Parah
0,0,1,1,0,1,0,1,1,1,1,1,1,2,Normal
3,3,3,3,3,3,1,3,3,3,3,2,2,3,Sangat Parah
2,2,0,3,2,0,1,0,3,2,0,2,1,3,Sedang
3,3,1,3,2,2,3,1,3,3,2,2,2,2,Parah
2,3,3,3,3,3,3,2,3,3,3,3,2,3,Sangat Parah
0,0,1,0,1,0,1,1,0,1,0,1,1,1,Normal
1,1,1,1,1,1,2,1,1,1,1,1,1,1,Ringan
1,1,2,1,3,1,1,1,2,1,0,3,0,1,Ringan
0,0,1,1,1,0,0,0,0,0,0,1,0,0,Normal
1,0,1,2,0,1,1,0,2,0,1,0,1,2,Normal
1,1,0,2,1,1,1,0,1,1,2,1,2,2,Ringan
0,3,1,1,1,1,1,2,1,1,3,1,2,1,Sedang
3,1,1,3,1,2,3,2,2,2,1,2,2,2,Parah
2,1,1,2,3,0,3,2,2,1,2,2,2,2,Sedang
0,0,0,0,2,1,0,0,1,1,1,1,0,1,Normal
1,0,1,1,1,0,0,0,0,0,1,1,1,1,Normal
2,2,1,2,2,1,2,2,1,1,2,1,2,1,Sedang
3,3,1,3,1,3,0,1,3,2,3,0,3,3,Parah
2,1,1,1,0,1,1,1,1,1,2,1,2,2,Ringan
1,1,1,2,2,1,1,2,1,2,1,2,1,1,Sedang
0,0,0,0,1,0,0,1,0,0,2,1,1,0,Normal
1,2,3,3,3,2,1,1,3,2,2,2,1,0,Parah
1,2,1,3,1,3,2,1,2,2,2,1,2,2,Sedang
2,2,1,2,2,1,2,2,1,3,1,1,1,1,Sedang
0,1,2,2,2,1,3,3,0,1,0,3,1,3,Sedang
0,1,0,1,0,0,0,1,0,1,0,1,0,1,Normal
1,1,1,1,1,0,0,1,1,0,1,1,0,1,Normal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
3,3,3,3,3,2,3,3,3,3,3,3,3,3,Sangat Parah
1,1,2,1,1,1,1,2,2,1,0,1,1,1,Ringan
1,0,1,0,0,3,3,1,1,1,3,1,1,1,Ringan
0,0,0,0,0,0,2,1,0,0,0,0,0,0,Normal
0,1,1,1,0,0,1,1,1,1,0,0,0,1,Normal
2,3,1,2,3,1,3,1,2,1,1,1,3,3,Parah
3,3,3,3,3,3,3,3,2,3,3,3,3,3,Sangat Parah
1,2,1,2,3,2,1,0,3,3,1,2,0,2,Sedang
2,1,3,2,2,2,3,3,0,1,2,2,2,1,Parah
0,1,1,1,3,3,3,1,3,2,1,2,2,1,Sedang
0,1,1,0,1,2,1,1,1,1,1,1,1,0,Normal
2,1,0,1,1,1,0,0,2,1,2,2,1,1,Ringan
2,2,1,2,0,2,2,2,3,1,3,3,1,3,Parah
2,2,1,2,1,1,1,2,2,1,2,1,1,1,Sedang
3,2,0,2,3,1,1,1,3,1,1,2,0,3,Sedang
2,2,0,2,1,0,2,2,1,1,1,0,0,2,Ringan
0,1,0,3,0,2,0,0,2,1,1,1,0,2,Normal
3,3,3,3,2,1,2,3,3,2,2,2,2,3,Sangat Parah
1,1,2,1,3,2,1,2,1,1,1,2,2,1,Sedang
3,0,3,3,3,3,0,3,3,3,1,3,0,3,Parah
1,1,3,1,2,3,2,1,3,0,3,3,2,2,Parah
3,3,3,2,3,0,3,2,0,3,0,3,2,3,Parah
1,2,2,2,2,1,1,2,1,2,0,1,2,1,Sedang
3,3,3,3,3,3,2,3,3,3,3,3,3,1,Sangat Parah
1,2,3,1,2,1,2,1,3,1,1,0,0,2,Sedang
1,1,3,2,2,1,2,2,3,3,3,3,1,2,Parah
2,2,2,2,1,3,2,1,3,2,3,1,2,2,Parah
2,1,1,1,0,0,1,0,0,0,0,0,0,0,Normal
1,1,3,1,2,3,2,3,2,2,1,3,1,2,Parah
3,1,3,3,3,3,3,2,3,2,2,3,3,3,Sangat Parah
0,1,1,0,0,1,1,0,0,0,0,2,0,0,Normal
0,1,3,0,1,2,0,1,0,2,0,3,1,3,Ringan
1,1,1,1,0,1,1,1,1,0,1,0,1,1,Normal
3,3,1,3,3,2,1,2,2,2,3,1,1,1,Parah
1,2,3,2,2,3,0,2,2,2,0,1,1,2,Sedang
3,3,3,3,0,3,1,1,3,3,3,3,3,3,Sangat Parah
2,0,1,1,1,0,0,0,1,2,2,1,2,1,Normal
3,1,2,3,1,3,2,1,3,0,3,1,1,2,Parah
1,0,2,1,1,2,0,1,1,1,1,2,1,2,Ringan
2,3,1,3,2,1,1,0,2,1,1,1,1,2,Sedang
3,3,3,3,3,1,3,2,3,3,1,3,3,3,Sangat Parah
3,3,3,3,2,3,2,2,2,3,2,3,2,2,Sangat Parah
3,2,2,2,1,1,1,1,1,2,1,0,2,1,Sedang
1,0,1,1,1,1,1,0,3,2,3,1,1,0,Ringan
1,2,1,1,2,0,2,1,1,1,0,0,2,2,Ringan
1,1,3,1,1,1,1,1,1,2,1,3,1,2,Sedang
0,0,2,0,0,0,1,1,1,0,0,0,0,1,Normal
3,0,3,1,3,3,3,3,3,3,3,3,3,3,Sangat Parah
1,0,2,2,1,0,1,0,1,2,0,0,1,0,Normal
1,2,2,2,1,2,2,1,1,2,1,2,1,2,Sedang
3,3,1,3,3,3,2,1,0,3,3,3,3,3,Sangat Parah
1,0,0,1,1,0,0,0,1,1,0,0,0,0,Normal
0,1,2,0,0,0,0,0,0,0,0,0,0,0,Normal
2,3,2,1,2,3,0,1,1,1,2,0,2,2,Sedang
1,1,2,3,1,1,2,1,2,3,1,1,3,3,Sedang
0,0,0,1,1,1,1,0,1,1,1,1,0,0,Normal
1,0,3,1,3,1,0,3,3,0,1,3,1,2,Sedang
2,3,3,3,3,3,3,3,3,3,3,3,2,3,Sangat Parah
2,2,2,2,1,1,3,1,2,2,2,2,2,2,Parah
2,3,3,3,2,2,2,2,2,3,3,3,1,3,Sangat Parah
1,0,2,0,1,2,0,2,0,1,0,2,0,0,Normal
1,2,1,3,2,1,1,2,3,3,2,2,2,2,Parah
1,1,2,1,3,2,1,3,2,3,3,2,2,1,Parah
2,0,3,3,0,1,1,2,1,2,3,1,3,0,Sedang
1,2,2,1,3,0,1,2,1,1,0,2,0,3,Sedang
3,3,3,3,1,3,2,2,3,3,2,2,1,3,Sangat Parah
3,3,3,3,3,2,3,1,3,3,3,3,3,3,Sangat Parah
3,3,3,3,3,3,3,0,3,3,3,3,3,3,Sangat Parah
3,3,3,3,3,3,3,3,3,3,3,3,2,3,Sangat Parah
0,0,1,0,1,2,1,3,1,1,1,0,1,1,Normal
0,1,1,0,2,2,1,1,0,1,0,1,0,0,Normal
2,2,2,2,2,3,2,3,3,1,3,3,3,3,Sangat Parah
1,1,0,1,1,1,1,0,1,0,1,1,1,1,Normal
1,2,2,0,3,2,1,1,0,3,1,3,0,3,Sedang
2,1,0,2,0,2,1,0,1,0,0,0,0,0,Normal
2,2,2,3,1,3,3,2,3,1,2,0,3,1,Parah
2,1,1,2,1,1,1,1,1,1,2,0,1,0,Ringan
1,1,1,3,1,3,1,1,3,1,1,1,1,1,Sedang
2,2,3,3,3,0,2,2,2,3,1,3,2,2,Parah
0,0,3,1,0,2,1,3,1,1,1,2,0,1,Ringan
1,0,0,1,0,0,0,0,2,0,0,0,0,0,Normal
2,2,2,2,1,1,1,1,1,2,1,1,0,2,Sedang
1,0,1,1,1,1,2,3,2,0,2,2,1,1,Ringan
0,0,0,0,0,0,1,0,0,0,0,0,1,0,Normal
0,1,0,0,1,1,0,0,0,1,1,1,1,1,Normal
1,1,3,1,3,1,1,2,1,1,1,2,1,1,Sedang
1,1,2,1,1,1,0,1,2,1,1,1,0,1,Normal
1,0,1,1,1,2,3,1,2,1,1,0,1,2,Ringan
1,0,1,1,0,1,1,1,1,1,1,0,1,1,Normal
1,2,3,3,3,1,3,2,1,2,0,2,1,2,Parah
3,2,0,3,1,3,3,1,3,3,2,2,3,1,Parah
1,1,1,1,2,1,0,1,1,1,1,2,0,2,Ringan
1,2,2,0,1,0,0,1,1,1,1,2,1,2,Ringan
1,0,0,2,1,1,2,0,1,0,1,0,0,0,Normal
2,2,2,1,2,2,2,1,2,1,0,1,1,0,Sedang
1,2,1,2,1,0,3,1,2,1,1,1,1,2,Sedang
1,1,1,1,0,1,2,0,1,1,1,1,0,0,Normal
2,2,1,2,1,1,1,1,0,2,2,2,1,2,Sedang
2,3,3,3,3,3,3,2,3,3,2,3,2,3,Sangat Parah
2,1,3,2,1,1,3,2,3,1,1,1,1,1,Sedang
1,2,1,1,3,1,2,2,1,3,2,3,2,2,Parah
3,3,3,3,3,1,2,3,2,3,2,3,2,3,Sangat Parah
0,0,1,0,0,0,0,0,0,0,0,1,0,1,Normal
2,0,0,2,0,0,1,0,2,2,2,0,3,1,Ringan
1,1,1,1,3,2,1,1,2,0,0,3,1,1,Ringan
0,0,0,0,1,0,0,0,0,1,2,0,1,0,Normal
0,1,1,0,2,1,1,1,1,2,0,0,0,1,Normal
1,0,1,1,1,1,1,1,1,1,3,3,1,1,Ringan
2,1,2,2,2,3,2,2,2,2,1,0,1,2,Sedang
2,2,2,3,2,2,2,1,3,1,2,2,1,3,Parah
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
1,2,3,3,3,2,1,1,3,2,3,3,3,2,Parah
0,1,0,0,2,1,0,1,1,1,0,2,0,0,Normal
1,1,1,1,0,0,1,0,1,1,1,1,1,2,Normal
3,3,3,3,3,2,3,3,3,3,3,3,1,3,Sangat Parah
3,3,3,1,3,1,0,3,1,0,1,3,2,1,Sedang
1,2,0,2,3,0,2,0,0,2,0,2,1,0,Ringan
1,0,1,1,0,0,1,1,1,1,1,0,1,1,Normal
1,2,1,1,1,0,1,2,2,2,1,1,0,2,Ringan
1,1,2,1,2,1,2,2,1,2,1,1,1,1,Sedang
3,3,3,3,0,0,0,2,0,3,0,2,2,0,Sedang
1,0,0,0,0,0,0,2,1,0,0,0,0,1,Normal
0,1,1,1,1,0,1,1,0,1,0,1,0,1,Normal
2,2,2,2,2,2,2,2,2,2,2,2,2,1,Parah
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
3,1,0,1,0,1,1,0,1,1,1,0,0,1,Normal
2,3,3,3,3,2,2,2,3,2,1,1,1,3,Parah
2,2,3,2,2,3,3,3,1,3,3,1,2,1,Parah
1,0,1,1,3,0,2,2,0,1,1,3,1,2,Ringan
1,1,1,1,2,1,1,1,1,1,1,1,1,1,Ringan
0,0,1,0,1,0,2,1,0,0,0,1,0,1,Normal
1,1,1,0,2,0,0,1,0,0,2,2,1,0,Normal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
2,0,3,1,3,0,1,2,1,3,2,2,2,1,Sedang
2,2,2,2,2,1,2,1,1,3,2,2,1,3,Parah
2,3,1,3,2,2,1,3,2,1,2,1,1,2,Parah
0,0,1,0,1,0,0,0,1,0,1,1,0,1,Normal
3,3,3,3,3,2,3,3,3,3,3,3,3,3,Sangat Parah
2,3,1,2,0,3,1,1,2,2,1,0,3,2,Sedang
1,1,2,2,2,1,3,2,3,2,1,1,2,1,Sedang
3,1,2,2,1,2,1,1,1,1,0,3,1,2,Sedang
0,0,0,0,0,1,2,0,1,0,0,0,0,1,Normal
0,1,0,0,0,1,2,1,1,0,1,0,1,0,Normal
3,2,3,2,2,3,1,2,2,3,1,2,2,2,Parah
2,0,2,2,2,1,1,0,1,1,0,2,2,2,Ringan
1,0,1,0,0,1,0,0,0,0,0,0,0,0,Normal
1,0,0,2,0,2,0,0,0,2,2,0,1,0,Normal
2,2,2,3,3,1,2,3,2,3,3,3,3,0,Parah
2,2,1,3,2,1,2,2,2,2,3,1,3,2,Parah
1,0,1,1,0,3,3,1,3,1,3,3,2,0,Sedang
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
3,3,3,3,1,3,3,3,3,3,3,3,3,3,Sangat Parah
3,3,2,3,3,0,2,3,3,3,3,1,0,3,Parah
3,3,3,3,2,2,3,3,3,3,3,2,3,3,Sangat Parah
1,2,2,3,1,0,2,1,1,1,0,1,1,1,Ringan
1,0,0,0,1,0,0,0,0,0,0,0,0,0,Normal
1,1,1,1,0,1,1,1,2,1,2,0,1,1,Normal
2,2,0,2,1,2,1,1,2,2,2,2,1,2,Sedang
3,2,3,2,2,3,2,2,1,3,1,2,1,3,Parah
3,2,3,3,2,3,3,3,3,3,3,3,2,3,Sangat Parah
0,1,0,0,1,3,1,1,2,0,3,1,2,2,Ringan
1,0,0,0,0,1,0,0,0,1,0,0,0,0,Normal
0,1,0,0,0,0,0,0,0,0,0,1,0,0,Normal
2,3,3,1,0,1,1,1,3,1,3,1,2,3,Sedang
1,0,2,0,3,0,1,3,1,2,2,3,1,0,Sedang
3,0,1,3,1,3,0,1,2,3,1,1,1,3,Sedang
1,3,3,3,1,1,0,0,1,3,1,1,1,3,Sedang
1,1,1,1,1,0,1,1,2,0,0,1,1,1,Normal
2,2,2,1,3,0,1,2,2,1,1,2,2,2,Sedang
1,2,2,2,2,1,2,1,2,3,0,1,0,3,Sedang
1,1,0,0,1,1,1,0,0,0,0,0,0,1,Normal
1,2,1,1,1,1,1,0,1,1,2,1,1,2,Ringan
1,1,0,2,1,1,1,1,1,2,1,1,1,3,Ringan
2,3,3,3,3,0,2,2,1,1,3,2,3,1,Parah
2,1,2,2,1,2,2,2,2,2,2,2,2,2,Parah
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
3,2,2,3,1,3,1,2,3,2,3,1,3,3,Parah
1,1,1,3,1,1,1,1,2,3,2,3,2,2,Sedang
0,0,3,1,1,2,0,0,0,0,2,0,0,0,Normal
0,0,1,1,1,1,0,0,0,0,0,1,1,1,Normal
0,0,2,0,0,0,0,1,0,0,0,1,0,0,Normal
3,0,0,1,0,0,1,1,0,1,2,0,1,0,Normal
3,1,3,3,3,2,2,3,1,3,1,3,1,3,Parah
1,0,1,1,3,3,0,2,1,1,2,1,1,2,Sedang
3,3,3,3,3,3,3,3,3,3,1,3,2,2,Sangat Parah
2,0,2,3,2,0,0,1,3,3,1,1,1,3,Sedang
1,2,1,1,2,2,2,1,2,2,1,3,0,1,Sedang
1,2,1,3,1,2,2,1,2,3,1,1,0,1,Sedang
3,3,2,2,1,2,1,2,3,3,1,1,1,3,Parah
3,3,3,3,2,1,2,3,3,3,2,2,3,2,Sangat Parah
2,2,2,1,1,2,2,1,2,2,2,1,2,2,Sedang
0,3,2,3,2,1,1,3,1,2,1,2,0,2,Sedang
3,3,1,3,1,1,3,1,3,1,1,1,1,1,Sedang
2,1,0,1,1,1,1,1,1,2,1,1,1,1,Ringan
1,1,2,1,1,0,1,1,0,2,0,1,1,1,Normal
2,1,0,1,1,0,2,0,2,0,0,0,0,1,Normal
1,0,3,1,0,0,0,0,1,0,0,3,1,0,Normal
3,1,2,2,0,1,1,0,3,3,1,0,1,2,Sedang
1,2,1,2,1,1,0,1,1,1,0,2,0,1,Normal
3,3,2,3,2,1,3,1,3,3,1,2,1,0,Parah
2,3,2,3,2,2,1,1,3,3,1,2,2,2,Parah
3,3,3,3,3,2,2,3,3,3,3,3,3,3,Sangat Parah
1,0,1,2,2,0,1,1,1,2,1,3,0,1,Ringan
2,1,1,2,1,1,0,0,1,2,0,0,1,0,Normal
2,3,1,0,2,0,1,0,2,1,0,2,0,1,Ringan
0,0,1,1,1,1,0,1,0,1,3,1,2,0,Normal
2,2,2,2,1,3,0,0,2,1,0,2,1,2,Sedang
2,1,1,2,2,2,1,1,2,2,2,2,2,2,Sedang
2,2,3,1,2,1,1,3,2,3,1,2,1,2,Parah
3,3,3,3,3,2,3,3,3,3,3,3,3,2,Sangat Parah
2,2,0,0,1,3,1,0,3,0,1,1,1,3,Ringan
2,3,2,2,3,3,2,2,2,3,3,3,3,3,Sangat Parah
1,2,2,2,2,1,0,1,2,2,1,2,1,1,Sedang
1,1,2,2,2,0,2,2,2,2,1,2,0,2,Sedang
1,1,3,1,3,2,1,1,1,1,2,1,1,2,Sedang
1,1,0,1,0,1,1,1,2,1,1,0,1,2,Normal
3,3,3,2,3,3,3,1,3,3,1,3,1,3,Sangat Parah
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
2,2,1,3,2,3,1,1,3,1,2,1,2,1,Sedang
0,1,3,1,2,1,1,2,2,1,3,3,1,3,Sedang
2,3,3,3,2,0,3,1,2,2,2,2,2,2,Parah
3,3,2,3,3,1,2,1,2,2,1,2,2,2,Parah
1,1,0,1,1,0,1,0,1,0,0,2,0,1,Normal
0,0,1,0,2,2,0,1,1,0,1,1,0,1,Normal
1,1,3,1,2,1,1,2,1,1,1,2,2,2,Sedang
2,1,3,1,1,2,1,3,1,1,2,1,1,1,Sedang
1,0,1,1,2,2,0,1,0,1,1,1,1,0,Normal
1,1,1,1,1,0,1,1,2,1,2,1,1,2,Ringan
2,1,2,3,2,2,1,3,1,3,1,3,1,3,Parah
1,3,3,0,0,0,3,3,0,2,0,3,0,0,Ringan
2,2,3,1,3,2,2,2,1,3,1,2,1,1,Parah
2,0,0,1,0,0,0,1,1,1,0,0,0,1,Normal
1,1,3,1,2,2,1,2,1,2,0,1,1,1,Sedang
0,1,0,0,0,0,1,0,1,0,0,0,1,1,Normal
3,1,0,2,0,1,2,0,3,1,2,0,2,2,Sedang
3,3,0,3,1,3,3,0,3,3,3,2,3,3,Parah
2,2,2,1,0,2,2,1,2,1,1,2,1,3,Sedang
1,1,1,2,1,0,1,1,2,1,3,2,0,2,Ringan
2,1,2,0,2,1,1,2,2,1,1,2,1,1,Sedang
0,3,0,1,1,1,1,0,0,0,1,0,2,1,Normal
2,3,2,3,2,2,2,2,3,2,2,2,2,2,Parah
3,3,2,3,2,2,3,2,3,2,2,2,2,3,Sangat Parah
2,2,1,3,2,3,2,1,2,1,2,3,2,2,Parah
2,3,3,1,3,3,2,3,3,3,1,3,3,3,Sangat Parah
3,3,0,3,2,1,1,3,2,3,3,3,3,1,Parah
1,1,1,1,0,1,1,2,1,1,1,1,1,1,Normal
1,1,1,1,0,1,1,0,1,1,1,1,0,0,Normal
0,0,2,0,1,0,0,2,0,2,0,1,0,0,Normal
2,2,3,1,2,3,2,2,2,1,3,2,1,2,Parah
1,0,1,2,2,2,0,1,1,0,0,2,1,0,Normal
2,3,1,3,0,3,3,2,3,1,2,1,3,2,Parah
0,0,1,0,1,0,0,1,0,0,0,0,0,0,Normal
2,3,1,3,2,2,0,2,2,3,1,2,1,2,Parah
0,0,0,0,0,1,0,0,0,1,0,0,0,0,Normal
1,1,3,1,2,1,1,1,1,1,1,1,1,1,Ringan
0,1,2,1,1,0,1,2,0,1,0,1,0,1,Normal
3,1,3,3,2,3,3,2,3,3,3,2,3,3,Sangat Parah
1,0,1,2,1,1,2,1,1,0,2,1,1,2,Ringan
2,1,3,3,1,1,0,2,3,1,2,1,1,3,Sedang
0,0,1,0,0,0,1,1,0,0,0,0,0,0,Normal
1,0,2,1,2,1,1,2,2,2,1,2,1,2,Sedang
1,1,0,2,2,1,1,0,1,0,2,0,1,1,Normal
2,2,3,3,1,1,3,3,3,2,0,3,1,2,Parah
3,3,3,3,3,0,2,3,1,2,0,3,1,1,Parah
0,0,1,0,1,0,0,2,0,0,0,1,0,1,Normal
2,2,1,2,0,3,0,0,1,1,1,0,1,1,Ringan
0,0,0,1,1,2,2,0,0,0,1,2,1,1,Normal
2,2,3,1,2,1,2,2,2,1,0,2,0,2,Sedang
1,1,3,1,1,1,2,1,1,2,3,1,0,1,Sedang
1,1,1,3,2,2,1,2,2,2,0,2,1,2,Sedang
3,3,2,3,1,3,3,2,3,3,3,3,3,3,Sangat Parah
0,2,3,2,2,1,2,3,2,3,1,2,0,2,Sedang
2,2,3,2,3,2,2,3,1,3,3,3,2,2,Parah
3,3,1,3,0,1,1,3,3,3,1,1,2,3,Parah
0,0,0,0,0,0,1,0,0,0,0,0,0,0,Normal
2,1,1,2,1,1,1,2,0,3,0,2,1,1,Ringan
0,0,2,1,0,1,0,1,0,0,1,0,1,1,Normal
3,2,3,3,2,1,3,1,3,2,3,2,3,2,Parah
1,1,2,0,2,2,1,1,1,1,1,2,1,2,Ringan
2,2,1,2,1,3,2,1,2,2,3,1,3,3,Parah
0,0,1,0,0,0,0,1,0,0,0,0,0,0,Normal
0,0,1,0,0,0,0,1,0,1,0,1,1,0,Normal
1,3,3,1,2,0,3,0,2,3,0,3,1,0,Sedang
2,2,3,2,3,1,1,3,1,2,1,3,2,3,Parah
0,1,3,2,0,0,0,3,0,2,0,0,0,0,Normal
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
1,1,1,1,0,0,0,0,1,1,1,0,0,1,Normal
0,0,0,2,1,2,0,2,1,0,2,1,1,3,Ringan
3,3,2,3,2,2,2,2,2,2,2,2,2,2,Parah
2,1,2,1,3,2,1,2,1,1,1,3,1,2,Sedang
2,3,0,3,1,2,1,1,2,3,3,0,3,1,Sedang
3,3,2,2,2,1,3,3,3,2,0,3,1,2,Parah
1,1,3,2,1,1,0,3,2,1,2,2,1,2,Sedang
1,1,1,0,0,1,1,2,1,1,3,1,1,1,Ringan
3,2,2,3,3,2,0,2,3,1,2,1,2,2,Parah
0,0,0,0,0,0,0,0,0,0,0,0,0,0,Normal
1,2,2,2,2,3,1,1,1,2,1,2,0,2,Sedang
3,0,3,3,3,3,3,3,3,3,3,3,3,3,Sangat Parah
3,2,3,3,2,3,2,3,2,1,3,1,2,3,Parah
3,3,3,3,3,1,0,1,3,3,3,0,2,3,Parah
1,1,1,1,0,1,1,1,1,2,1,1,1,1,Normal
2,3,3,3,2,2,2,3,3,3,2,2,2,2,Sangat Parah
3,3,3,3,3,3,3,3,3,2,3,3,3,3,Sangat Parah
3,1,1,2,0,3,2,2,3,3,3,1,2,2,Parah
2,3,3,3,1,3,3,2,3,2,3,2,2,3,Sangat Parah
1,1,3,1,2,1,1,2,1,1,1,2,1,2,Sedang
3,3,3,3,2,2,2,3,3,3,3,2,1,3,Sangat Parah
0,0,1,1,1,0,0,1,1,1,1,1,1,1,Normal
3,3,3,3,3,3,3,3,3,3,3,3,3,3,Sangat Parah
0,0,0,1,0,0,0,0,1,0,0,0,0,0,Normal
1,3,3,2,3,3,3,3,1,3,3,3,3,1,Sangat Parah
0,1,1,1,1,0,1,1,1,0,1,0,1,1,Normal
1,0,1,1,1,2,0,1,1,1,2,1,2,1,Ringan
1,0,1,1,1,0,0,1,1,0,0,3,0,1,Normal
2,2,1,2,2,2,2,1,1,2,2,1,0,2,Sedang
1,0,0,2,0,0,1,0,2,0,0,0,1,1,Normal
2,1,2,2,2,3,3,2,3,2,2,1,1,2,Parah
1,1,1,0,0,2,1,0,0,0,1,1,1,1,Normal
0,0,0,0,0,1,0,0,0,0,0,0,0,0,Normal
1,1,2,3,1,1,1,1,2,2,1,1,1,2,Sedang
2,1,0,1,0,3,1,0,1,0,1,0,0,1,Normal
2,1,2,1,3,1,2,3,2,2,2,1,1,2,Sedang
1,0,0,0,1,1,0,0,0,1,1,0,0,1,Normal
0,0,0,0,0,0,0,0,0,1,0,1,0,0,Normal
1,0,2,0,1,0,0,1,0,0,1,2,1,0,Normal
2,1,1,1,0,1,1,2,1,1,1,0,2,1,Ringan
1,2,2,2,2,2,3,2,3,2,2,1,1,2,Parah
